CustomerID,CustomerName,Age,Country,JoinDate
1,Lina Al-Smadi,39,Saudi Arabia,2023-11-21
2,Rami Barakat,33,Jordan,2020-01-20
3,Khaled Haddad,41,Jordan,2021-11-17
4,Lina Hammad,50,Jordan,2020-01-03
5,Rania Al-Momani,32,Egypt,2023-09-08
6,Majed Saleh,32,Egypt,2022-02-09
7,Ali Al-Smadi,50,Jordan,2024-01-29
8,Sara Barakat,42,Qatar,2021-09-21
9,Khaled Qasem,30,Saudi Arabia,2020-07-31
10,Omar Qasem,40,Jordan,2021-02-24
11,Yousef Omari,30,Jordan,2022-12-21
12,Rania Saleh,30,Saudi Arabia,2021-05-02
13,Khaled Shami,37,UAE,2022-05-09
14,Majed Khoury,18,UAE,2022-10-04
15,Omar Darwish,18,Jordan,2020-05-02
16,Mona Omari,29,Jordan,2020-10-18
17,Zain Najjar,24,Saudi Arabia,2023-12-28
18,Rami Haddad,38,Jordan,2021-07-27
19,Yousef Darwish,25,Jordan,2020-07-09
20,Aya Al-Momani,20,Jordan,2020-03-30
21,Sara Saleh,49,Egypt,2021-04-19
22,Lina Najjar,32,Egypt,2022-11-30
23,Noor Masri,35,Saudi Arabia,2022-04-25
24,Rami Darwish,20,Egypt,2023-12-06
25,Ali Omari,29,Jordan,2022-02-01
26,Tariq Qasem,36,Saudi Arabia,2022-07-27
27,Lina Rabie,23,Jordan,2020-06-22
28,Salma Al-Momani,38,Saudi Arabia,2023-04-04
29,Rania Khoury,28,Qatar,2020-07-14
30,Noor Masri,32,Saudi Arabia,2022-11-01
31,Yousef Omari,28,Jordan,2020-09-30
32,Sara Al-Smadi,53,Saudi Arabia,2023-07-29
33,Khaled Darwish,34,Jordan,2022-03-18
34,Hassan Al-Momani,24,Egypt,2020-06-02
35,Khaled Ayoub,43,Saudi Arabia,2023-04-27
36,Lina Saleh,22,Saudi Arabia,2023-03-08
37,Rami Shami,37,Saudi Arabia,2020-05-07
38,Noor Haddad,18,Saudi Arabia,2022-06-09
39,Noor Najjar,21,Jordan,2023-09-18
40,Yousef Hammad,36,Saudi Arabia,2020-09-24
41,Rami Omari,42,Jordan,2021-04-29
42,Sara Masri,36,UAE,2021-08-20
43,Mona Qasem,33,Egypt,2021-06-18
44,Khaled Haddad,31,Egypt,2021-10-07
45,Tariq Saleh,20,Saudi Arabia,2022-03-15
46,Rami Rabie,27,Saudi Arabia,2023-12-06
47,Rania Barakat,30,Jordan,2021-10-30
48,Aya Ayoub,45,UAE,2021-10-13
49,Ali Barakat,38,Jordan,2022-07-16
50,Ali Darwish,18,Saudi Arabia,2021-07-10
51,Aya Saleh,38,Jordan,2021-04-23
52,Rami Al-Momani,31,Jordan,2020-06-01
53,Yousef Rabie,28,Saudi Arabia,2021-02-19
54,Majed Rabie,41,Jordan,2020-10-05
55,Aya Barakat,45,UAE,2023-04-12
56,Ahmad Saleh,44,Jordan,2020-08-11
57,Tariq Haddad,26,Jordan,2020-11-14
58,Rami Haddad,31,Saudi Arabia,2020-08-04
59,Khaled Omari,38,Jordan,2020-12-02
60,Rania Qasem,44,Jordan,2022-07-09
61,Rami Omari,30,UAE,2022-08-12
62,Majed Saleh,33,Jordan,2021-10-05
63,Majed Saleh,23,Egypt,2022-04-12
64,Noor Barakat,23,Jordan,2020-09-04
65,Huda Qasem,43,Jordan,2023-01-02
66,Ahmad Al-Momani,48,UAE,2022-01-03
67,Ali Ayoub,34,Jordan,2021-03-01
68,Lina Haddad,45,Jordan,2022-07-14
69,Mona Darwish,38,Jordan,2021-09-23
70,Zain Masri,28,Jordan,2022-08-06
71,Sara Saleh,38,Egypt,2021-06-26
72,Salma Masri,50,Jordan,2020-09-02
