EmployeeID,EmployeeName,Department,HireDate
1,Khaled Najjar,IT,2015-11-10
2,Noor Rabie,HR,2022-05-31
3,Rami Qasem,Management,2023-06-06
4,Zain Khoury,Sales,2020-10-30
5,Ali Al-Momani,Sales,2023-08-10
6,Noor Najjar,HR,2020-07-09
7,Tariq Shami,Support,2023-11-22
8,Farah Qasem,Support,2020-03-23
9,Lina Shami,IT,2017-04-07
10,Rania Hammad,IT,2018-04-17
11,Rania Rabie,Management,2022-06-04
12,Hassan Shami,Management,2020-08-01
13,Noor Darwish,IT,2020-07-01
14,Sara Barakat,Sales,2020-08-29
15,Tariq Al-Momani,HR,2017-12-07
16,Sara Saleh,Sales,2021-01-30
17,Mona Khoury,Sales,2018-11-08
18,Sara Al-Momani,HR,2024-01-29
19,Mona Khoury,Sales,2021-01-23
20,Lina Omari,Sales,2021-02-16
21,Huda Shami,Sales,2015-03-14
22,Huda Ayoub,HR,2023-07-27
23,Yousef Qasem,Support,2015-05-10
24,Omar Khoury,IT,2019-10-29
25,Zain Hammad,Sales,2016-05-02
26,Rania Rabie,HR,2019-04-21
27,Huda Shami,HR,2020-01-18
28,Noor Saleh,Sales,2018-07-12
29,Tariq Omari,Support,2024-07-25
30,Omar Khoury,Sales,2019-03-22
31,Yousef Al-Momani,Management,2019-12-18
32,Omar Ayoub,IT,2020-02-26
33,Khaled Ayoub,Management,2015-05-28
34,Farah Hammad,Sales,2015-05-15
35,Aya Saleh,HR,2016-12-25
36,Majed Najjar,HR,2021-03-30
37,Aya Shami,IT,2022-05-24
38,Majed Hammad,Management,2023-09-28
39,Farah Ayoub,Sales,2018-05-26
40,Rania Shami,Sales,2022-12-02
41,Tariq Khoury,IT,2016-11-03
42,Majed Haddad,IT,2020-07-06
43,Hassan Haddad,Support,2019-10-31
44,Rami Barakat,Sales,2016-07-04
45,Ahmad Najjar,Support,2018-07-03
46,Hassan Darwish,Sales,2023-01-10
47,Ali Haddad,Support,2019-05-13
48,Noor Khoury,IT,2020-06-19
49,Tariq Haddad,IT,2023-07-27
50,Mona Omari,Sales,2016-03-24
51,Rania Khoury,Support,2021-05-19
52,Mona Haddad,Sales,2022-07-27
53,Huda Haddad,Sales,2020-07-02
54,Khaled Al-Momani,HR,2022-05-27
55,Ali Najjar,Management,2021-03-18
56,Majed Haddad,Sales,2022-09-08
57,Tariq Khoury,HR,2021-01-18
58,Noor Haddad,HR,2021-06-01
59,Yousef Qasem,HR,2020-04-08
60,Ali Hammad,Sales,2020-05-03
61,Aya Najjar,Management,2021-04-21
62,Huda Najjar,Sales,2024-07-31
63,Tariq Qasem,Sales,2016-10-02
64,Mona Qasem,Sales,2020-09-06
65,Hassan Al-Momani,Support,2015-08-17
66,Omar Saleh,Sales,2019-05-23
67,Ahmad Darwish,Sales,2017-12-14
68,Huda Shami,Sales,2020-07-19
69,Aya Haddad,HR,2021-08-17
70,Omar Omari,HR,2019-03-28
