SaleID,CustomerID,ProductID,EmployeeID,Quantity,SaleDate,Price_x,TotalAmount,CustomerName,Age,Country,JoinDate,ProductName,Category,Price_y,EmployeeName,Department,HireDate,SaleMonth
1,1591,556,63,1,2022-05-13,23.63,23.63,Huda Darwish,24,Saudi Arabia,2020-01-10,Salad_556,Food,23.63,Tariq Qasem,Sales,2016-10-02,5
2,1914,848,63,2,2023-03-13,122.83,245.66,Ahmad Darwish,40,Saudi Arabia,2022-07-03,Table_848,Furniture,122.83,Tariq Qasem,Sales,2016-10-02,3
3,1633,494,294,3,2021-01-21,6.98,20.94,Farah Haddad,28,Saudi Arabia,2020-03-16,Salad_494,Food,6.98,Ali Ayoub,Management,2022-05-21,1
4,848,439,29,1,2021-02-26,31.84,31.84,Khaled Saleh,59,Qatar,2022-02-24,Burger_439,Food,31.84,Tariq Omari,Support,2024-07-25,2
5,599,650,40,3,2023-05-31,63.76,191.28,Aya Ayoub,30,Egypt,2022-12-09,Science Book_650,Books,63.76,Rania Shami,Sales,2022-12-02,5
6,806,782,147,4,2023-07-08,33.62,134.48,Farah Barakat,31,Saudi Arabia,2021-10-03,Children Book_782,Books,33.62,Zain Ayoub,Support,2023-07-31,7
7,1655,359,88,2,2021-03-27,24.36,48.72,Aya Haddad,38,Jordan,2023-09-19,Scarf_359,Clothing,24.36,Yousef Masri,Management,2015-04-21,3
8,1744,36,56,3,2021-11-18,649.45,1948.35,Salma Masri,46,Jordan,2022-09-13,Printer_36,Electronics,649.45,Majed Haddad,Sales,2022-09-08,11
9,1358,34,300,1,2022-09-09,1770.94,1770.94,Rami Saleh,38,Saudi Arabia,2020-04-14,Smartphone_34,Electronics,1770.94,Lina Darwish,Sales,2023-02-07,9
10,1949,88,193,2,2021-11-02,802.38,1604.76,Lina Darwish,46,Saudi Arabia,2023-09-05,Monitor_88,Electronics,802.38,Noor Khoury,IT,2022-04-22,11
11,1178,658,100,4,2023-06-07,78.17,312.68,Khaled Darwish,34,Egypt,2022-04-28,Biography_658,Books,78.17,Zain Najjar,Sales,2022-06-01,6
12,1571,16,215,3,2021-03-07,1751.64,5254.92,Lina Rabie,42,Jordan,2021-08-06,Camera_16,Electronics,1751.64,Rami Al-Smadi,HR,2022-01-15,3
